Zone,State,Scheme,Month,Visited Accounts,Allocated Accounts,Visit %,Outstanding Amount (Cr),Principal Outstanding (Cr),EMI Amount (Cr),Resolved Accounts
MMZO Zone,West Bengal,CCMUD,2023-11,268,356,75.28,65.31,45.16,0.9,163
East,Haryana,TLU03,2023-03,177,303,58.42,60.46,51.48,1.03,22
West,Delhi,ODGEN,2023-06,161,627,25.68,63.03,45.43,0.91,83
North,Punjab,CHOME,2023-04,183,350,52.29,17.28,16.83,0.34,12
South,West Bengal,VL001,2023-09,255,477,53.46,31.6,27.41,0.55,165
East,Unknown,UKKGL,2023-07,385,623,61.8,47.35,28.79,0.58,224
South,Unknown,CHOME,2023-04,172,545,31.56,16.19,12.93,0.26,101
MMZO Zone,Punjab,UMGLP,2023-10,363,643,56.45,78.62,40.71,0.81,134
Central,West Bengal,CCSUV,2023-05,341,450,75.78,54.34,37.98,0.76,267
Central,Punjab,CCMUD,2023-09,36,68,52.94,13.82,8.51,0.17,26
North,West Bengal,CCMUD,2023-08,489,640,76.41,45.37,24.15,0.48,133
Hyderabad,Bihar,TLU03,2023-06,261,609,42.86,70.33,59.54,1.19,65
MMZO Zone,Odisha,CCSUV,2023-04,106,218,48.62,46.83,23.7,0.47,4
South,Rajasthan,CCGEN,2023-05,139,616,22.56,37.83,21.15,0.42,2
North,Unknown,CCSUV,2023-08,383,882,43.42,36.88,31.4,0.63,251
Central,Delhi,CCSUV,2023-05,23,369,6.23,96.78,51.87,1.04,5
Hyderabad,Rajasthan,CHOME,2023-04,13,316,4.11,74.94,42.36,0.85,3
East,Haryana,CCMUD,2023-01,126,305,41.31,19.07,14.69,0.29,86
Central,Bihar,CHOME,2023-12,158,321,49.22,23.74,14.97,0.3,120
East,Punjab,UMGLP,2023-09,399,759,52.57,8.41,7.6,0.15,241
Central,Delhi,ODGEN,2023-05,394,596,66.11,6.37,5.57,0.11,133
Central,Rajasthan,UKKGL,2023-11,259,571,45.36,27.47,22.62,0.45,236
South,Bihar,CCGEN,2023-04,459,667,68.82,77.03,45.91,0.92,13
North,Punjab,CCGEN,2023-06,279,314,88.85,24.69,13.88,0.28,44
Central,Delhi,CHOME,2023-01,85,263,32.32,56.85,48.7,0.97,84
MMZO Zone,Bihar,LADEP,2023-06,355,634,55.99,49.05,27.99,0.56,251
Central,Unknown,LADEP,2023-02,271,391,69.31,54.32,47.18,0.94,144
Hyderabad,Punjab,UMGLP,2023-04,2,136,1.47,13.46,12.75,0.26,1
East,Unknown,TLU03,2023-02,212,323,65.63,63.66,53.99,1.08,201
East,Rajasthan,UMGLP,2023-11,306,399,76.69,21.9,11.2,0.22,68
South,Bihar,TLU03,2023-02,27,451,5.99,65.47,64.99,1.3,15
Hyderabad,Bihar,CCGEN,2023-09,246,740,33.24,83.1,78.72,1.57,233
Pune Zone,Bihar,VL001,2023-05,430,517,83.17,84.38,77.04,1.54,172
North,Delhi,CCGEN,2023-09,25,341,7.33,39.16,36.16,0.72,3
Central,Haryana,VL001,2023-10,451,682,66.13,10.29,5.85,0.12,199
East,West Bengal,TL009,2023-01,47,149,31.54,8.74,5.02,0.1,47
East,West Bengal,CHOME,2023-03,337,404,83.42,39.57,21.19,0.42,320
South,Bihar,TL009,2023-06,319,775,41.16,59.61,49.06,0.98,131
North,Odisha,ODGEN,2023-07,266,343,77.55,28.87,25.28,0.51,83
Hyderabad,Jharkhand,UMGLP,2023-11,15,260,5.77,78.39,62.16,1.24,4
MMZO Zone,Punjab,CCMUD,2023-12,10,319,3.13,63.18,59.38,1.19,4
MMZO Zone,Punjab,TLP12,2023-09,176,548,32.12,55.7,31.19,0.62,145
Central,Unknown,CCGEN,2023-11,134,463,28.94,33.22,22.4,0.45,105
South,Bihar,CCMUD,2023-10,308,786,39.19,82.34,65.88,1.32,264
West,Delhi,CCGEN,2023-06,79,502,15.74,22.15,13.05,0.26,39
MMZO Zone,Bihar,UKKGL,2023-03,27,212,12.74,46.33,26.8,0.54,8
North,Bihar,TLP12,2023-02,500,949,52.69,17.62,15.31,0.31,417
South,Odisha,TL009,2023-07,110,340,32.35,65.32,46.85,0.94,22
South,Haryana,UMGLP,2023-03,485,825,58.79,59.06,53.14,1.06,369
Hyderabad,Bihar,TL009,2023-08,433,601,72.05,3.23,2.85,0.06,273
East,West Bengal,CCMUD,2023-08,401,403,99.5,82.11,67.05,1.34,338
MMZO Zone,Odisha,LADEP,2023-01,445,848,52.48,95.62,75.54,1.51,133
South,Haryana,TLU03,2023-04,256,304,84.21,34.57,33.42,0.67,126
Pune Zone,Haryana,TLU03,2023-05,319,712,44.8,64.49,34.09,0.68,276
Pune Zone,Delhi,CCGEN,2023-07,492,966,50.93,47.33,33.96,0.68,296
South,Rajasthan,ODGEN,2023-03,462,784,58.93,6.36,4.28,0.09,346
West,West Bengal,CCGEN,2023-10,251,750,33.47,3.95,2.18,0.04,105
East,Punjab,TLP12,2023-08,436,879,49.6,70.41,44.23,0.88,247
East,Delhi,CCGEN,2023-09,141,625,22.56,50.86,27.12,0.54,47
North,Haryana,TLP12,2023-05,457,903,50.61,64.4,63.46,1.27,410
East,West Bengal,UKKGL,2023-09,172,365,47.12,1.45,1.32,0.03,116
West,Jharkhand,CCSUV,2023-02,294,573,51.31,96.53,88.16,1.76,235
West,Odisha,TL009,2023-07,100,583,17.15,80.56,73.73,1.47,5
North,Unknown,UKKGL,2023-09,343,367,93.46,60.26,30.21,0.6,284
West,West Bengal,TLP12,2023-10,483,713,67.74,36.22,28.74,0.57,0
Pune Zone,Rajasthan,CCMUD,2023-07,168,610,27.54,23.83,18.4,0.37,153
West,Bihar,TLP12,2023-04,385,564,68.26,3.28,3.23,0.06,299
East,Jharkhand,ODGEN,2023-11,408,848,48.11,72.11,50.97,1.02,62
East,Jharkhand,CCGEN,2023-02,400,401,99.75,95.68,84.88,1.7,238
North,Unknown,CCGEN,2023-06,185,345,53.62,79.31,72.98,1.46,58
South,Rajasthan,CCSUV,2023-10,362,657,55.1,70.33,54.46,1.09,258
Pune Zone,West Bengal,TLP12,2023-01,343,420,81.67,67.0,39.17,0.78,143
Central,Delhi,UKKGL,2023-10,50,175,28.57,11.25,7.36,0.15,39
South,Punjab,CCMUD,2023-11,265,618,42.88,77.96,41.46,0.83,132
West,West Bengal,TL009,2023-10,383,780,49.1,20.27,15.67,0.31,182
Central,Bihar,CCSUV,2023-02,384,710,54.08,35.91,25.92,0.52,44
MMZO Zone,Odisha,TL009,2023-07,199,393,50.64,92.07,48.89,0.98,33
South,Delhi,TLP12,2023-06,144,226,63.72,83.07,78.03,1.56,90
South,Haryana,TL009,2023-01,468,820,57.07,26.49,17.3,0.35,283
North,West Bengal,TLU03,2023-07,202,701,28.82,42.02,25.2,0.5,188
West,Delhi,VL001,2023-11,359,700,51.29,23.39,21.13,0.42,341
Pune Zone,Rajasthan,CHOME,2023-12,63,209,30.14,3.97,2.01,0.04,36
Hyderabad,Unknown,UMGLP,2023-12,275,494,55.67,86.65,58.82,1.18,93
Central,Punjab,CCMUD,2023-01,336,715,46.99,84.13,65.92,1.32,282
Pune Zone,Unknown,CCSUV,2023-11,232,337,68.84,30.35,17.13,0.34,123
South,Rajasthan,CCGEN,2023-11,294,420,70.0,2.26,1.82,0.04,46
Pune Zone,Haryana,UKKGL,2023-06,442,801,55.18,24.81,18.3,0.37,57
Central,Bihar,UKKGL,2023-12,39,236,16.53,20.5,15.69,0.31,8
West,Haryana,TL009,2023-12,488,765,63.79,6.51,5.29,0.11,261
East,Bihar,CHOME,2023-12,195,541,36.04,97.64,69.84,1.4,93
South,Delhi,UKKGL,2023-09,27,198,13.64,42.07,38.41,0.77,1
MMZO Zone,Punjab,CCSUV,2023-09,167,663,25.19,10.72,7.64,0.15,17
South,Jharkhand,CHOME,2023-09,230,356,64.61,14.28,9.55,0.19,29
Hyderabad,Delhi,TLU03,2023-05,421,894,47.09,90.76,59.55,1.19,191
Central,Rajasthan,ODGEN,2023-02,472,476,99.16,45.75,30.79,0.62,131
Hyderabad,Punjab,CCGEN,2023-07,26,490,5.31,89.82,52.65,1.05,22
South,Odisha,LADEP,2023-10,135,574,23.52,53.94,40.31,0.81,45
MMZO Zone,Odisha,LADEP,2023-05,356,483,73.71,3.07,2.68,0.05,308
North,Rajasthan,UMGLP,2023-12,246,341,72.14,41.57,40.64,0.81,132
Hyderabad,Unknown,VL001,2023-12,401,479,83.72,39.95,39.63,0.79,166
South,Rajasthan,CCSUV,2023-06,380,386,98.45,57.26,54.58,1.09,94
North,Jharkhand,ODGEN,2023-12,248,627,39.55,81.49,51.39,1.03,65
South,Odisha,UMGLP,2023-05,300,411,72.99,40.1,32.28,0.65,240
West,Jharkhand,CCGEN,2023-01,211,232,90.95,57.03,40.55,0.81,142
MMZO Zone,Delhi,UKKGL,2023-02,223,705,31.63,71.79,51.59,1.03,66
West,Odisha,UKKGL,2023-01,315,584,53.94,10.82,7.04,0.14,54
West,West Bengal,TLP12,2023-11,47,327,14.37,61.57,34.55,0.69,22
MMZO Zone,Bihar,CCGEN,2023-09,37,510,7.25,8.17,7.65,0.15,19
South,Punjab,TL009,2023-08,335,409,81.91,57.27,39.46,0.79,234
Hyderabad,West Bengal,TL009,2023-12,270,363,74.38,49.8,27.94,0.56,201
MMZO Zone,Odisha,CCSUV,2023-11,191,451,42.35,19.9,19.3,0.39,123
Central,Bihar,CCMUD,2023-09,219,660,33.18,66.78,46.16,0.92,12
East,Bihar,LADEP,2023-04,335,696,48.13,83.86,66.76,1.34,298
Pune Zone,West Bengal,CHOME,2023-06,179,493,36.31,88.98,68.73,1.37,3
East,West Bengal,UKKGL,2023-04,130,470,27.66,31.64,27.54,0.55,16
Central,Bihar,UMGLP,2023-06,200,503,39.76,32.4,32.24,0.64,19
Central,Bihar,CCSUV,2023-08,97,456,21.27,36.17,35.13,0.7,71
South,Jharkhand,ODGEN,2023-05,111,413,26.88,70.81,51.87,1.04,51
Pune Zone,Bihar,CCSUV,2023-02,317,332,95.48,38.44,24.54,0.49,297
North,Punjab,VL001,2023-07,154,298,51.68,30.44,26.89,0.54,141
South,Jharkhand,TL009,2023-07,389,676,57.54,8.64,8.29,0.17,232
Hyderabad,Jharkhand,UMGLP,2023-08,307,694,44.24,1.89,1.11,0.02,246
Hyderabad,West Bengal,VL001,2023-05,415,510,81.37,23.59,17.53,0.35,37
Pune Zone,Punjab,LADEP,2023-12,5,310,1.61,81.41,72.0,1.44,0
West,Punjab,CCGEN,2023-07,364,611,59.57,75.42,51.9,1.04,57
South,Unknown,TL009,2023-03,304,633,48.03,58.91,30.9,0.62,10
South,West Bengal,UKKGL,2023-10,2,387,0.52,13.29,6.87,0.14,0
Hyderabad,Rajasthan,UKKGL,2023-04,145,187,77.54,36.51,28.14,0.56,11
MMZO Zone,West Bengal,CHOME,2023-01,104,522,19.92,14.07,10.65,0.21,49
Central,Unknown,CCGEN,2023-01,417,738,56.5,38.45,31.51,0.63,331
MMZO Zone,Jharkhand,CHOME,2023-08,399,769,51.89,17.73,14.52,0.29,287
South,Bihar,UKKGL,2023-04,368,630,58.41,43.66,39.68,0.79,267
Pune Zone,Unknown,ODGEN,2023-02,384,794,48.36,19.6,16.47,0.33,263
Hyderabad,Rajasthan,CHOME,2023-09,124,331,37.46,32.73,16.5,0.33,90
North,Bihar,CCMUD,2023-08,289,471,61.36,92.25,58.43,1.17,21
East,West Bengal,CCSUV,2023-07,289,434,66.59,50.66,30.27,0.61,204
West,Odisha,TLP12,2023-12,357,788,45.3,12.61,12.32,0.25,234
Central,Jharkhand,CCSUV,2023-01,49,233,21.03,60.71,34.58,0.69,28
East,Haryana,UKKGL,2023-05,440,896,49.11,41.15,33.34,0.67,56
Hyderabad,Delhi,ODGEN,2023-08,426,509,83.69,76.95,51.3,1.03,314
West,Delhi,ODGEN,2023-04,282,525,53.71,99.48,98.26,1.97,196
West,Rajasthan,TLP12,2023-07,490,779,62.9,5.94,5.55,0.11,94
East,West Bengal,CCGEN,2023-08,143,405,35.31,30.62,18.35,0.37,51
Hyderabad,Punjab,CCSUV,2023-06,332,368,90.22,75.34,58.74,1.17,170
South,Jharkhand,UMGLP,2023-09,68,471,14.44,5.12,2.9,0.06,68
North,West Bengal,TL009,2023-01,500,591,84.6,79.89,75.78,1.52,65
North,Jharkhand,LADEP,2023-03,478,522,91.57,23.97,15.41,0.31,54
Hyderabad,Delhi,VL001,2023-09,432,449,96.21,47.72,30.21,0.6,242
North,Haryana,TLU03,2023-10,348,813,42.8,71.91,50.23,1.0,253
Hyderabad,Unknown,CCSUV,2023-11,5,397,1.26,85.53,82.1,1.64,0
Hyderabad,Punjab,CCSUV,2023-09,113,582,19.42,52.34,33.86,0.68,21
Hyderabad,Delhi,CCSUV,2023-12,185,536,34.51,57.24,52.63,1.05,113
East,Delhi,UMGLP,2023-11,205,468,43.8,94.39,79.79,1.6,132
Central,Bihar,TLP12,2023-07,481,692,69.51,82.79,54.23,1.08,253
East,West Bengal,TLU03,2023-02,194,379,51.19,42.11,29.43,0.59,66
Hyderabad,Haryana,UKKGL,2023-12,263,510,51.57,19.65,14.01,0.28,132
East,Unknown,TLP12,2023-07,122,393,31.04,21.58,17.22,0.34,17
West,West Bengal,CHOME,2023-03,213,648,32.87,34.97,20.24,0.4,37
West,Punjab,LADEP,2023-03,472,775,60.9,19.31,12.23,0.24,116
MMZO Zone,Bihar,TLU03,2023-10,498,851,58.52,1.13,0.59,0.01,275
MMZO Zone,Rajasthan,TL009,2023-03,65,348,18.68,80.16,74.76,1.5,59
MMZO Zone,Rajasthan,ODGEN,2023-04,44,484,9.09,52.37,49.06,0.98,21
North,Rajasthan,ODGEN,2023-07,124,581,21.34,99.49,79.53,1.59,22
East,Haryana,CCSUV,2023-04,190,481,39.5,61.03,32.32,0.65,177
Hyderabad,Odisha,LADEP,2023-12,360,623,57.78,66.04,38.15,0.76,280
MMZO Zone,West Bengal,LADEP,2023-10,109,358,30.45,51.35,34.21,0.68,54
Central,Rajasthan,CCMUD,2023-08,77,160,48.12,22.86,12.86,0.26,14
Central,West Bengal,CHOME,2023-10,82,571,14.36,26.83,14.97,0.3,2
Pune Zone,Jharkhand,UKKGL,2023-04,167,586,28.5,52.38,45.72,0.91,73
Central,Odisha,TLP12,2023-10,132,188,70.21,12.33,8.48,0.17,115
Hyderabad,Odisha,CHOME,2023-10,454,656,69.21,27.95,15.38,0.31,413
North,Punjab,CHOME,2023-07,461,656,70.27,10.45,6.77,0.14,218
West,Punjab,CHOME,2023-07,101,261,38.7,74.47,63.33,1.27,36
MMZO Zone,Bihar,CCMUD,2023-08,498,802,62.09,95.47,78.83,1.58,157
West,Haryana,TL009,2023-02,371,595,62.35,11.01,6.17,0.12,229
Central,Haryana,LADEP,2023-03,12,212,5.66,75.25,45.9,0.92,2
West,Punjab,CCGEN,2023-01,275,461,59.65,41.77,36.83,0.74,101
East,Delhi,CCMUD,2023-06,332,375,88.53,63.7,51.69,1.03,91
Hyderabad,Punjab,UMGLP,2023-07,311,379,82.06,44.22,24.59,0.49,90
MMZO Zone,Odisha,TL009,2023-12,225,465,48.39,69.23,59.86,1.2,217
North,Haryana,CCGEN,2023-10,341,590,57.8,71.25,58.61,1.17,204
West,Bihar,CCGEN,2023-03,274,361,75.9,45.91,40.46,0.81,100
North,Haryana,VL001,2023-05,404,801,50.44,24.9,22.35,0.45,336
MMZO Zone,Haryana,CCMUD,2023-12,359,635,56.54,23.22,18.84,0.38,209
MMZO Zone,Unknown,CCSUV,2023-07,132,577,22.88,57.82,49.53,0.99,77
Central,Jharkhand,CCGEN,2023-03,13,343,3.79,23.03,14.84,0.3,9
West,Odisha,UKKGL,2023-04,39,213,18.31,99.1,91.91,1.84,9
MMZO Zone,Jharkhand,UMGLP,2023-12,87,109,79.82,11.2,7.86,0.16,82
West,Jharkhand,UKKGL,2023-10,479,614,78.01,45.27,39.74,0.79,101
North,Unknown,UMGLP,2023-12,48,483,9.94,14.04,8.6,0.17,31
Central,Bihar,UMGLP,2023-08,434,874,49.66,20.43,16.42,0.33,206
West,Punjab,TLP12,2023-06,94,587,16.01,27.3,15.43,0.31,41
Central,Punjab,UKKGL,2023-11,240,545,44.04,63.74,42.86,0.86,35
MMZO Zone,Delhi,CCSUV,2023-09,135,560,24.11,15.3,10.55,0.21,121
North,West Bengal,CHOME,2023-04,419,732,57.24,11.77,7.47,0.15,371
Central,Bihar,VL001,2023-11,129,616,20.94,50.03,49.03,0.98,76
MMZO Zone,Punjab,CCGEN,2023-02,463,662,69.94,23.96,13.47,0.27,73
West,Bihar,TLP12,2023-08,406,469,86.57,79.05,77.23,1.54,310
Central,Rajasthan,TL009,2023-08,60,116,51.72,77.76,67.19,1.34,56
North,Jharkhand,LADEP,2023-11,165,651,25.35,88.19,80.69,1.61,45
Central,Bihar,TLP12,2023-11,117,255,45.88,50.76,33.84,0.68,79
South,Rajasthan,ODGEN,2023-02,410,524,78.24,66.84,36.62,0.73,94
Central,Odisha,CCSUV,2023-04,70,144,48.61,77.55,54.82,1.1,36
Pune Zone,Delhi,VL001,2023-05,112,271,41.33,33.29,32.75,0.66,107
East,Punjab,CHOME,2023-02,472,850,55.53,68.63,56.38,1.13,384
Central,Rajasthan,UKKGL,2023-06,286,699,40.92,84.21,45.02,0.9,223
Central,Jharkhand,TLP12,2023-05,125,432,28.94,74.99,72.46,1.45,14
MMZO Zone,Delhi,CCGEN,2023-07,343,753,45.55,35.68,30.77,0.62,333
North,Haryana,UKKGL,2023-04,342,763,44.82,91.68,78.02,1.56,253
Central,Delhi,CCMUD,2023-02,150,266,56.39,65.37,36.64,0.73,38
North,Jharkhand,TL009,2023-01,3,174,1.72,65.05,60.7,1.21,0
South,Odisha,ODGEN,2023-06,360,728,49.45,99.02,96.41,1.93,225
Central,Bihar,UMGLP,2023-12,190,207,91.79,79.33,78.76,1.58,156
North,Unknown,ODGEN,2023-09,293,533,54.97,54.4,27.85,0.56,131
East,Bihar,CHOME,2023-06,264,630,41.9,71.64,41.36,0.83,49
East,Delhi,CCMUD,2023-07,71,169,42.01,40.87,36.74,0.73,24
West,Punjab,CCGEN,2023-11,167,219,76.26,73.19,55.29,1.11,153
South,Haryana,CCMUD,2023-08,197,678,29.06,68.0,56.11,1.12,148
West,Punjab,TLP12,2023-07,231,343,67.35,1.62,1.18,0.02,210
MMZO Zone,Delhi,TL009,2023-05,87,328,26.52,43.73,28.45,0.57,3
West,Rajasthan,ODGEN,2023-07,188,385,48.83,24.1,19.75,0.4,85
East,Unknown,UMGLP,2023-02,492,748,65.78,24.42,23.84,0.48,276
East,Odisha,TLU03,2023-03,478,768,62.24,50.59,31.14,0.62,372
MMZO Zone,Rajasthan,VL001,2023-11,275,556,49.46,9.7,4.97,0.1,193
South,Odisha,CCSUV,2023-02,116,359,32.31,40.9,35.26,0.71,51
North,West Bengal,ODGEN,2023-03,379,439,86.33,90.51,72.98,1.46,260
Central,Haryana,LADEP,2023-09,452,939,48.14,92.89,59.82,1.2,247
Central,Rajasthan,TLP12,2023-02,404,537,75.23,48.17,34.0,0.68,274
West,Jharkhand,CCGEN,2023-11,475,570,83.33,64.27,39.46,0.79,220
Pune Zone,Unknown,CCGEN,2023-02,382,628,60.83,88.71,80.02,1.6,283
East,Delhi,LADEP,2023-08,479,609,78.65,18.22,15.62,0.31,268
North,Haryana,UMGLP,2023-02,82,229,35.81,32.64,31.1,0.62,39
East,Unknown,ODGEN,2023-04,465,664,70.03,80.48,70.54,1.41,129
East,Punjab,TLU03,2023-02,67,162,41.36,56.71,54.86,1.1,9
Pune Zone,Unknown,VL001,2023-10,327,719,45.48,99.71,71.31,1.43,10
Hyderabad,Delhi,TLU03,2023-12,387,578,66.96,32.68,24.89,0.5,352
Central,Unknown,TLP12,2023-11,159,615,25.85,10.16,10.15,0.2,32
Central,Bihar,LADEP,2023-06,328,470,69.79,65.37,33.19,0.66,112
East,Jharkhand,TLP12,2023-09,137,491,27.9,36.62,26.5,0.53,107
North,Unknown,TLP12,2023-02,117,387,30.23,95.31,86.01,1.72,97
Hyderabad,Delhi,UMGLP,2023-02,331,668,49.55,86.47,48.21,0.96,61
Pune Zone,Odisha,TLP12,2023-07,203,700,29.0,33.02,27.87,0.56,15
South,Odisha,CCGEN,2023-03,233,677,34.42,54.12,38.8,0.78,138
MMZO Zone,Haryana,UKKGL,2023-07,139,553,25.14,34.58,25.69,0.51,84
North,Jharkhand,VL001,2023-09,323,579,55.79,54.6,40.2,0.8,238
Hyderabad,Haryana,TLP12,2023-04,97,165,58.79,26.76,22.35,0.45,66
Pune Zone,Odisha,CCMUD,2023-03,8,143,5.59,9.99,7.06,0.14,1
East,Punjab,CHOME,2023-03,254,317,80.13,90.77,57.55,1.15,227
Pune Zone,Punjab,LADEP,2023-04,133,420,31.67,38.68,29.38,0.59,58
Hyderabad,Bihar,UKKGL,2023-12,52,136,38.24,34.89,31.14,0.62,3
South,Haryana,TLP12,2023-06,408,822,49.64,19.16,12.59,0.25,217
South,Odisha,TL009,2023-07,446,478,93.31,90.71,58.14,1.16,407
East,Unknown,CCSUV,2023-11,123,483,25.47,25.32,21.06,0.42,0
Pune Zone,Delhi,CHOME,2023-07,316,747,42.3,50.93,41.15,0.82,180
Pune Zone,Haryana,LADEP,2023-03,38,371,10.24,60.09,46.35,0.93,31
Hyderabad,Rajasthan,LADEP,2023-07,342,620,55.16,75.63,45.08,0.9,201
South,Bihar,VL001,2023-09,326,361,90.3,49.16,42.18,0.84,165
Hyderabad,Haryana,VL001,2023-02,73,286,25.52,3.94,2.96,0.06,59
MMZO Zone,Jharkhand,LADEP,2023-08,384,562,68.33,37.36,22.53,0.45,107
Hyderabad,Rajasthan,VL001,2023-03,469,753,62.28,55.02,42.6,0.85,349
South,West Bengal,CHOME,2023-11,293,697,42.04,62.6,50.72,1.01,64
East,Unknown,LADEP,2023-02,140,338,41.42,9.92,6.69,0.13,123
West,Haryana,LADEP,2023-10,265,327,81.04,13.13,7.04,0.14,168
Hyderabad,Jharkhand,CHOME,2023-11,304,361,84.21,65.95,36.71,0.73,232
South,Delhi,LADEP,2023-02,136,296,45.95,78.75,57.34,1.15,107
Hyderabad,Punjab,CHOME,2023-06,178,622,28.62,83.06,43.4,0.87,30
East,Jharkhand,TLU03,2023-09,191,368,51.9,82.59,51.04,1.02,186
West,Odisha,LADEP,2023-03,315,373,84.45,2.39,1.45,0.03,254
East,Rajasthan,CCMUD,2023-04,110,266,41.35,14.61,7.64,0.15,59
East,Punjab,CCSUV,2023-03,269,655,41.07,38.41,19.94,0.4,122
MMZO Zone,Bihar,VL001,2023-04,16,290,5.52,91.8,58.56,1.17,7
MMZO Zone,Delhi,TLP12,2023-09,39,298,13.09,87.86,69.58,1.39,20
MMZO Zone,Odisha,CCSUV,2023-09,60,499,12.02,66.86,63.95,1.28,5
Central,Bihar,UMGLP,2023-07,93,323,28.79,94.44,69.32,1.39,14
Central,Haryana,TLP12,2023-08,183,614,29.8,61.65,54.93,1.1,25
Pune Zone,Bihar,UMGLP,2023-12,483,805,60.0,83.77,72.28,1.45,285
East,Odisha,TLU03,2023-03,169,510,33.14,18.09,14.99,0.3,53
West,Delhi,UMGLP,2023-02,366,482,75.93,12.63,10.17,0.2,349
East,Bihar,TLU03,2023-01,243,699,34.76,53.12,27.78,0.56,191
Central,Odisha,TLP12,2023-01,21,130,16.15,38.18,28.51,0.57,21
MMZO Zone,Delhi,CCSUV,2023-03,220,577,38.13,66.38,47.44,0.95,193
MMZO Zone,Delhi,CCSUV,2023-06,430,852,50.47,89.11,70.69,1.41,38
North,Delhi,CHOME,2023-06,134,588,22.79,84.13,46.9,0.94,62
Hyderabad,Jharkhand,TL009,2023-01,10,327,3.06,27.19,20.1,0.4,8
Pune Zone,Rajasthan,VL001,2023-01,449,746,60.19,44.59,29.28,0.59,110
North,West Bengal,CHOME,2023-03,318,624,50.96,77.74,59.16,1.18,167
MMZO Zone,West Bengal,UMGLP,2023-08,279,605,46.12,95.71,48.81,0.98,225
MMZO Zone,West Bengal,CHOME,2023-09,314,467,67.24,43.95,25.94,0.52,36
South,Delhi,ODGEN,2023-06,494,535,92.34,36.5,30.21,0.6,216
South,Unknown,CHOME,2023-05,80,97,82.47,69.56,53.0,1.06,25
Central,Delhi,TLP12,2023-09,186,608,30.59,73.57,50.21,1.0,143
Pune Zone,Bihar,UKKGL,2023-10,439,476,92.23,2.8,2.31,0.05,194
West,Punjab,TL009,2023-03,118,127,92.91,37.41,24.43,0.49,0
East,Punjab,CCGEN,2023-04,395,473,83.51,51.29,30.03,0.6,264
South,Rajasthan,TLU03,2023-10,493,975,50.56,53.1,30.83,0.62,120
Central,Jharkhand,VL001,2023-08,107,399,26.82,77.96,64.92,1.3,105
South,Odisha,CCMUD,2023-02,112,493,22.72,36.74,19.84,0.4,18
Central,Haryana,CCSUV,2023-03,98,377,25.99,90.12,49.49,0.99,28
Hyderabad,Delhi,CCMUD,2023-08,38,85,44.71,75.55,59.82,1.2,2
Central,Haryana,CCGEN,2023-11,229,507,45.17,40.52,36.23,0.72,28
Pune Zone,Jharkhand,VL001,2023-10,106,235,45.11,6.35,4.21,0.08,38
MMZO Zone,Rajasthan,VL001,2023-01,244,348,70.11,62.22,44.55,0.89,119
West,West Bengal,CCGEN,2023-12,398,769,51.76,59.85,31.17,0.62,162
MMZO Zone,Unknown,CCSUV,2023-03,336,420,80.0,59.27,58.05,1.16,219
South,Bihar,LADEP,2023-12,252,407,61.92,76.14,50.09,1.0,164
MMZO Zone,Haryana,TL009,2023-09,278,767,36.25,2.58,1.96,0.04,157
Pune Zone,Haryana,CHOME,2023-05,381,606,62.87,93.61,82.95,1.66,366
Pune Zone,Haryana,TLP12,2023-04,0,129,0.0,62.2,62.04,1.24,0
Central,Unknown,UKKGL,2023-11,364,493,73.83,33.84,21.27,0.43,244
West,Unknown,UKKGL,2023-12,0,127,0.0,82.58,80.48,1.61,0
East,Delhi,UKKGL,2023-11,297,423,70.21,92.44,62.99,1.26,5
MMZO Zone,Punjab,UKKGL,2023-03,283,326,86.81,93.85,50.46,1.01,41
Central,Bihar,CCMUD,2023-05,479,930,51.51,60.0,55.49,1.11,439
MMZO Zone,Jharkhand,CCSUV,2023-06,267,522,51.15,46.55,45.13,0.9,209
West,Rajasthan,TLP12,2023-09,428,545,78.53,31.93,23.96,0.48,321
Pune Zone,West Bengal,LADEP,2023-02,319,444,71.85,8.65,8.12,0.16,245
North,Haryana,UMGLP,2023-03,304,659,46.13,23.09,13.19,0.26,166
South,West Bengal,UKKGL,2023-11,220,228,96.49,3.36,3.28,0.07,117
MMZO Zone,West Bengal,CHOME,2023-01,38,410,9.27,6.69,4.07,0.08,11
West,Punjab,UMGLP,2023-07,379,497,76.26,36.2,32.15,0.64,170
North,Jharkhand,CCSUV,2023-05,485,545,88.99,11.65,9.88,0.2,3
West,Haryana,CCSUV,2023-05,487,726,67.08,7.46,4.46,0.09,39
North,Jharkhand,LADEP,2023-12,388,715,54.27,18.58,10.65,0.21,67
South,West Bengal,TLP12,2023-07,112,369,30.35,68.69,64.28,1.29,81
West,Haryana,CCMUD,2023-09,326,692,47.11,65.11,58.09,1.16,50
South,Rajasthan,CCMUD,2023-11,199,274,72.63,87.83,46.15,0.92,62
Central,Jharkhand,CCSUV,2023-04,267,625,42.72,90.04,71.16,1.42,32
Pune Zone,Unknown,TLP12,2023-09,195,680,28.68,20.75,16.59,0.33,57
MMZO Zone,Jharkhand,TLU03,2023-07,247,384,64.32,4.89,2.73,0.05,70
MMZO Zone,Bihar,TLU03,2023-12,236,409,57.7,78.81,55.53,1.11,146
Hyderabad,Bihar,LADEP,2023-07,182,681,26.73,4.25,2.79,0.06,32
Hyderabad,Bihar,CHOME,2023-10,311,405,76.79,96.73,79.87,1.6,183
